id,score,term,topic,dropdown
212,0.6946291,lutheranism,1,adultery
213,0.6910170,protestants,1,adultery
214,0.6874582,infidelity,1,adultery
215,0.6867630,protestant,1,adultery
216,0.6722337,idolatry,1,adultery
217,0.6667908,blasphemy,1,adultery
218,0.6643511,celibacy,1,adultery
219,0.6631719,homosexuality,1,adultery
220,0.6604050,heresy,1,adultery
221,0.6601525,anglicanism,1,adultery
222,0.6474311,polygamy,1,adultery
223,0.6461190,calvinist,1,adultery
224,0.6458797,toleration,1,adultery
225,0.8086776,orthodoxy,2,adultery
226,0.8068327,adultery,2,adultery
227,0.7091713,apostasy,2,adultery
228,0.6883116,immorality,2,adultery
229,0.6869947,christianity,2,adultery
230,0.6790375,heretical,2,adultery
231,0.6716043,catholicism,2,adultery
232,0.6709215,heresy,2,adultery
233,0.6684461,protestantism,2,adultery
234,0.6654091,celibacy,2,adultery
235,0.6632256,infidelity,2,adultery
236,0.6621270,idolatry,2,adultery
237,0.6501512,judaism,2,adultery
238,0.6487972,blasphemy,2,adultery
239,0.6450023,excommunication,2,adultery
240,0.6434771,homosexuality,2,adultery
241,0.6404641,repentance,2,adultery
242,0.6280933,polygamy,2,adultery
243,0.6280921,orthodox,2,adultery
244,0.6257374,heretics,2,adultery
245,0.7844295,catholicism,0,stealing
246,0.5454438,steal,0,stealing
247,0.6567046,protestantism,0,stealing
248,0.6460631,christianity,0,stealing
249,0.6096237,anglicanism,0,stealing
250,0.5982576,lutheranism,0,stealing
251,0.5808266,religion,0,stealing
252,0.5799757,catholics,0,stealing
253,0.5797738,catholic,0,stealing
254,0.5647976,orthodoxy,0,stealing
255,0.5642473,stole,0,stealing
256,0.5639679,kidnap,0,stealing
257,0.5606173,protestant,0,stealing
258,0.5507641,smuggle,0,stealing
259,0.5476767,calvinism,0,stealing
260,0.5464881,devout,0,stealing
261,0.6619371,stealing,0,stealing
262,0.5436792,protestants,0,stealing
263,0.5434839,betray,0,stealing
264,0.5425437,profess,0,stealing
265,0.5370708,heretical,0,stealing
266,0.5341337,seduce,0,stealing
267,0.5332764,idolatry,0,stealing
268,0.5331281,paganism,0,stealing
269,0.7687741,protestantism,1,stealing
270,0.6902857,catholicism,1,stealing
271,0.6599479,lutheranism,1,stealing
272,0.6593176,protestant,1,stealing
273,0.6504688,stealing,1,stealing
274,0.6441263,calvinism,1,stealing
275,0.6435242,protestants,1,stealing
276,0.6287391,christianity,1,stealing
277,0.6026238,anglicanism,1,stealing
278,0.5968121,reformation,1,stealing
279,0.5924306,calvinist,1,stealing
280,0.5806038,heretical,1,stealing
281,0.5804160,lutherans,1,stealing
282,0.5679739,catholics,1,stealing
283,0.5677147,orthodoxy,1,stealing
284,0.5664764,fundamentalism,1,stealing
285,0.5656539,evangelicals,1,stealing
286,0.5615136,methodism,1,stealing
287,0.5604643,confessing,1,stealing
288,0.5602925,fundamentalists,1,stealing
289,0.7736162,orthodoxy,2,stealing
290,0.6691754,stealing,2,stealing
291,0.6499457,orthodox,2,stealing
292,0.5990585,heretical,2,stealing
293,0.5653824,catholicism,2,stealing
294,0.5638941,believers,2,stealing
295,0.5622161,gnosticism,2,stealing
296,0.5620626,christianity,2,stealing
297,0.5525035,stole,2,stealing
298,0.5472796,heretics,2,stealing
299,0.5430124,mystical,2,stealing
300,0.5426246,profess,2,stealing
301,0.5415277,fundamentalists,2,stealing
302,0.5412652,gnostic,2,stealing
303,0.5403882,christendom,2,stealing
304,0.5390780,adherents,2,stealing
305,0.5390158,betray,2,stealing
306,0.5357532,protestantism,2,stealing
307,0.5352552,monasticism,2,stealing
308,0.5328700,judaism,2,stealing
